method,query_id,camera_id,runA_frame,stratum,ground_truth_label,runB_min,runB_max,raw_predicted_runB_frame,gated_by,accepted,predicted_runB_frame,correct,interval_distance,preferred_frame_error,signed_interval_error,signed_preferred_error
submitted_unified,cam5_v3b_00,cam5,224,corridor,match,135,137,142,,True,142,False,5,6,5,6
submitted_unified,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
submitted_unified,cam5_v3b_02,cam5,576,dark,match,481,483,485,,True,485,False,2,3,2,3
submitted_unified,cam5_v3b_03,cam5,586,corridor,match,491,493,493,,True,493,True,0,1,0,1
submitted_unified,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
submitted_unified,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
submitted_unified,cam5_v3b_06,cam5,925,corridor,match,813,815,816,,True,816,False,1,2,1,2
submitted_unified,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
submitted_unified,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1104,,True,1104,False,2,3,2,3
submitted_unified,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,,,False,,,,,,
submitted_unified,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,,,False,,,,,,
submitted_unified,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1438,,True,1438,False,5,5,5,5
submitted_unified,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1472,,True,1472,True,0,1,0,1
submitted_unified,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1541,,True,1541,False,1,3,1,3
submitted_unified,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1650,,True,1650,False,9,11,9,11
submitted_unified,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1663,,True,1663,False,2,4,2,4
submitted_unified,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
submitted_unified,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
submitted_unified,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
submitted_unified,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2211,,True,2211,False,8,9,8,9
submitted_unified,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2250,,True,2250,False,6,7,6,7
submitted_unified,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2379,,True,2379,False,3,3,3,3
submitted_unified,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2480,,True,2480,False,2,3,2,3
submitted_unified,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,,,False,,,,,,
slope_refinement_variant,cam5_v3b_00,cam5,224,corridor,match,135,137,142,,True,142,False,5,6,5,6
slope_refinement_variant,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
slope_refinement_variant,cam5_v3b_02,cam5,576,dark,match,481,483,485,,True,485,False,2,3,2,3
slope_refinement_variant,cam5_v3b_03,cam5,586,corridor,match,491,493,493,,True,493,True,0,1,0,1
slope_refinement_variant,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
slope_refinement_variant,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
slope_refinement_variant,cam5_v3b_06,cam5,925,corridor,match,813,815,816,,True,816,False,1,2,1,2
slope_refinement_variant,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
slope_refinement_variant,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1104,,True,1104,False,2,3,2,3
slope_refinement_variant,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,,,False,,,,,,
slope_refinement_variant,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,,,False,,,,,,
slope_refinement_variant,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1437,,True,1437,False,4,4,4,4
slope_refinement_variant,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1470,,True,1470,True,0,1,0,-1
slope_refinement_variant,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1541,,True,1541,False,1,3,1,3
slope_refinement_variant,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1640,,True,1640,True,0,1,0,1
slope_refinement_variant,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1662,,True,1662,False,1,3,1,3
slope_refinement_variant,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
slope_refinement_variant,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
slope_refinement_variant,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
slope_refinement_variant,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2204,,True,2204,False,1,2,1,2
slope_refinement_variant,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2249,,True,2249,False,5,6,5,6
slope_refinement_variant,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2379,,True,2379,False,3,3,3,3
slope_refinement_variant,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2480,,True,2480,False,2,3,2,3
slope_refinement_variant,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,,,False,,,,,,
posterior_model,cam5_v3b_00,cam5,224,corridor,match,135,137,141,,True,141,False,4,5,4,5
posterior_model,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
posterior_model,cam5_v3b_02,cam5,576,dark,match,481,483,485,,True,485,False,2,3,2,3
posterior_model,cam5_v3b_03,cam5,586,corridor,match,491,493,494,,True,494,False,1,2,1,2
posterior_model,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
posterior_model,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
posterior_model,cam5_v3b_06,cam5,925,corridor,match,813,815,817,,True,817,False,2,3,2,3
posterior_model,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
posterior_model,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1103,,True,1103,False,1,2,1,2
posterior_model,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,1262,,True,1262,False,2,3,2,3
posterior_model,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,1397,,True,1397,False,33,34,-33,-34
posterior_model,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1437,,True,1437,False,4,4,4,4
posterior_model,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1473,,True,1473,False,1,2,1,2
posterior_model,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1540,,True,1540,True,0,2,0,2
posterior_model,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1641,,True,1641,True,0,2,0,2
posterior_model,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1663,,True,1663,False,2,4,2,4
posterior_model,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
posterior_model,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
posterior_model,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
posterior_model,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2204,,True,2204,False,1,2,1,2
posterior_model,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2249,,True,2249,False,5,6,5,6
posterior_model,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2378,,True,2378,False,2,2,2,2
posterior_model,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2478,,True,2478,True,0,1,0,1
posterior_model,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,2597,,True,2597,,,,,
submitted_plus_slope_gate,cam5_v3b_00,cam5,224,corridor,match,135,137,142,,True,142,False,5,6,5,6
submitted_plus_slope_gate,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
submitted_plus_slope_gate,cam5_v3b_02,cam5,576,dark,match,481,483,485,,True,485,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_03,cam5,586,corridor,match,491,493,493,,True,493,True,0,1,0,1
submitted_plus_slope_gate,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
submitted_plus_slope_gate,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
submitted_plus_slope_gate,cam5_v3b_06,cam5,925,corridor,match,813,815,816,,True,816,False,1,2,1,2
submitted_plus_slope_gate,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1104,,True,1104,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,,,False,,,,,,
submitted_plus_slope_gate,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,,,False,,,,,,
submitted_plus_slope_gate,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1438,,True,1438,False,5,5,5,5
submitted_plus_slope_gate,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1472,near_kink,False,,,,,,
submitted_plus_slope_gate,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1541,,True,1541,False,1,3,1,3
submitted_plus_slope_gate,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1650,,True,1650,False,9,11,9,11
submitted_plus_slope_gate,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1663,,True,1663,False,2,4,2,4
submitted_plus_slope_gate,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
submitted_plus_slope_gate,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2211,,True,2211,False,8,9,8,9
submitted_plus_slope_gate,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2250,,True,2250,False,6,7,6,7
submitted_plus_slope_gate,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2379,,True,2379,False,3,3,3,3
submitted_plus_slope_gate,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2480,,True,2480,False,2,3,2,3
submitted_plus_slope_gate,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,,,False,,,,,,
submitted_plus_dark_gate,cam5_v3b_00,cam5,224,corridor,match,135,137,142,,True,142,False,5,6,5,6
submitted_plus_dark_gate,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
submitted_plus_dark_gate,cam5_v3b_02,cam5,576,dark,match,481,483,485,runB_too_dark,False,,,,,,
submitted_plus_dark_gate,cam5_v3b_03,cam5,586,corridor,match,491,493,493,,True,493,True,0,1,0,1
submitted_plus_dark_gate,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
submitted_plus_dark_gate,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
submitted_plus_dark_gate,cam5_v3b_06,cam5,925,corridor,match,813,815,816,,True,816,False,1,2,1,2
submitted_plus_dark_gate,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
submitted_plus_dark_gate,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1104,,True,1104,False,2,3,2,3
submitted_plus_dark_gate,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,,,False,,,,,,
submitted_plus_dark_gate,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,,,False,,,,,,
submitted_plus_dark_gate,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1438,,True,1438,False,5,5,5,5
submitted_plus_dark_gate,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1472,,True,1472,True,0,1,0,1
submitted_plus_dark_gate,cam5_v3b_13,cam5,1618,corridor,match,1536,1540,1541,,True,1541,False,1,3,1,3
submitted_plus_dark_gate,cam5_v3b_14,cam5,1704,kink,match,1637,1641,1650,,True,1650,False,9,11,9,11
submitted_plus_dark_gate,cam5_v3b_15,cam5,1723,corridor,match,1657,1661,1663,,True,1663,False,2,4,2,4
submitted_plus_dark_gate,cam5_v3b_16,cam5,1878,corridor,match,1825,1827,1829,,True,1829,False,2,3,2,3
submitted_plus_dark_gate,cam5_v3b_17,cam5,1977,corridor,match,1926,1928,1930,,True,1930,False,2,3,2,3
submitted_plus_dark_gate,cam5_v3b_18,cam5,2187,corridor,match,2153,2155,2155,,True,2155,True,0,1,0,1
submitted_plus_dark_gate,cam5_v3b_19,cam5,2237,corridor,match,2201,2203,2211,,True,2211,False,8,9,8,9
submitted_plus_dark_gate,cam5_v3b_20,cam5,2277,kink,match,2242,2244,2250,,True,2250,False,6,7,6,7
submitted_plus_dark_gate,cam5_v3b_21,cam5,2396,corridor,match,2376,2376,2379,,True,2379,False,3,3,3,3
submitted_plus_dark_gate,cam5_v3b_22,cam5,2470,kink,match,2476,2478,2480,,True,2480,False,2,3,2,3
submitted_plus_dark_gate,cam5_v3b_23,cam5,2587,corridor,no_correspondence,,,,,False,,,,,,
submitted_plus_both_gates,cam5_v3b_00,cam5,224,corridor,match,135,137,142,,True,142,False,5,6,5,6
submitted_plus_both_gates,cam5_v3b_01,cam5,417,corridor,match,334,334,333,,True,333,False,1,1,-1,-1
submitted_plus_both_gates,cam5_v3b_02,cam5,576,dark,match,481,483,485,runB_too_dark,False,,,,,,
submitted_plus_both_gates,cam5_v3b_03,cam5,586,corridor,match,491,493,493,,True,493,True,0,1,0,1
submitted_plus_both_gates,cam5_v3b_04,cam5,654,corridor,match,551,553,554,,True,554,False,1,2,1,2
submitted_plus_both_gates,cam5_v3b_05,cam5,792,corridor,match,686,688,689,,True,689,False,1,2,1,2
submitted_plus_both_gates,cam5_v3b_06,cam5,925,corridor,match,813,815,816,,True,816,False,1,2,1,2
submitted_plus_both_gates,cam5_v3b_07,cam5,1023,corridor,match,920,922,924,,True,924,False,2,3,2,3
submitted_plus_both_gates,cam5_v3b_08,cam5,1202,corridor,match,1100,1102,1104,,True,1104,False,2,3,2,3
submitted_plus_both_gates,cam5_v3b_09,cam5,1361,corridor,match,1258,1260,,,False,,,,,,
submitted_plus_both_gates,cam5_v3b_10,cam5,1491,corridor,match,1430,1432,,,False,,,,,,
submitted_plus_both_gates,cam5_v3b_11,cam5,1526,kink,match,1433,1433,1438,,True,1438,False,5,5,5,5
submitted_plus_both_gates,cam5_v3b_12,cam5,1558,kink,match,1470,1472,1472,near_kink,False,,,,,,
