query_id,camera_id,runA_frame,label,runB_frame,runB_min,runB_max,source
cam0_v2_00,cam0,229,match,140,139,141,manual_viewer_blind
cam0_v2_01,cam0,285,match,195,195,195,manual_viewer_blind
cam0_v2_02,cam0,355,match,268,267,269,manual_viewer_blind
cam0_v2_03,cam0,410,no_match,,,,manual_viewer_blind
cam0_v2_04,cam0,476,match,384,384,384,manual_viewer_blind
cam0_v2_05,cam0,505,match,411,410,412,manual_viewer_blind
cam0_v2_06,cam0,598,match,503,503,503,manual_viewer_blind
cam0_v2_07,cam0,634,match,535,534,536,manual_viewer_blind
cam0_v2_08,cam0,687,match,583,582,584,manual_viewer_blind
cam0_v2_09,cam0,733,match,629,628,630,manual_viewer_blind
cam0_v2_10,cam0,803,match,697,696,698,manual_viewer_blind
cam0_v2_11,cam0,849,match,740,740,740,manual_viewer_blind
cam0_v2_12,cam0,934,match,824,824,824,manual_viewer_blind
cam0_v2_13,cam0,984,match,879,879,879,manual_viewer_blind
cam0_v2_14,cam0,1083,no_match,,,,manual_viewer_blind
cam0_v2_15,cam0,1129,no_match,,,,manual_viewer_blind
cam0_v2_16,cam0,1197,no_match,,,,manual_viewer_blind
cam0_v2_17,cam0,1217,no_match,,,,manual_viewer_blind
cam0_v2_18,cam0,1306,no_match,,,,manual_viewer_blind
cam0_v2_19,cam0,1377,match,1279,1278,1280,manual_viewer_blind
cam0_v2_20,cam0,1443,match,1344,1343,1345,manual_viewer_blind
cam0_v2_21,cam0,1503,match,1406,1406,1406,manual_viewer_blind
cam0_v2_22,cam0,1578,no_match,,,,manual_viewer_blind
cam0_v2_23,cam0,1638,no_match,,,,manual_viewer_blind
cam0_v2_24,cam0,1687,match,1635,1634,1636,manual_viewer_blind
cam0_v2_25,cam0,1714,match,1649,1648,1650,manual_viewer_blind
cam0_v2_26,cam0,1766,match,1709,1708,1710,manual_viewer_blind
cam0_v2_27,cam0,1855,match,1803,1803,1803,manual_viewer_blind
cam0_v2_28,cam0,1913,match,1861,1861,1861,manual_viewer_blind
cam0_v2_29,cam0,1986,match,1937,1936,1938,manual_viewer_blind
cam0_v2_30,cam0,2066,match,2024,2023,2025,manual_viewer_blind
cam0_v2_31,cam0,2115,match,2078,2077,2079,manual_viewer_blind
cam0_v2_32,cam0,2140,match,2103,2103,2103,manual_viewer_blind
cam0_v2_33,cam0,2223,match,2188,2188,2188,manual_viewer_blind
cam0_v2_34,cam0,2277,match,2243,2243,2243,manual_viewer_blind
cam0_v2_35,cam0,2350,match,2322,2321,2323,manual_viewer_blind
cam0_v2_36,cam0,2416,match,2408,2407,2409,manual_viewer_blind
cam0_v2_37,cam0,2435,match,2436,2435,2437,manual_viewer_blind
cam0_v2_38,cam0,2504,match,2511,2511,2511,manual_viewer_blind
cam0_v2_39,cam0,2555,match,2568,2567,2569,manual_viewer_blind
cam5_v2_00,cam5,196,match,114,114,115,manual_viewer_blind
cam5_v2_01,cam5,297,match,211,210,212,manual_viewer_blind
cam5_v2_02,cam5,345,match,263,262,264,manual_viewer_blind
cam5_v2_03,cam5,407,match,323,322,324,manual_viewer_blind
cam5_v2_04,cam5,440,match,353,353,353,manual_viewer_blind
cam5_v2_05,cam5,491,match,397,397,397,manual_viewer_blind
cam5_v2_06,cam5,554,match,461,461,461,manual_viewer_blind
cam5_v2_07,cam5,664,match,564,563,565,manual_viewer_blind
cam5_v2_08,cam5,706,no_match,,,,manual_viewer_blind
cam5_v2_09,cam5,781,match,676,675,677,manual_viewer_blind
cam5_v2_10,cam5,834,match,728,728,728,manual_viewer_blind
cam5_v2_11,cam5,872,match,762,762,762,manual_viewer_blind
cam5_v2_12,cam5,915,match,805,804,806,manual_viewer_blind
cam5_v2_13,cam5,1003,no_match,,,,manual_viewer_blind
cam5_v2_14,cam5,1063,match,963,962,964,manual_viewer_blind
cam5_v2_15,cam5,1149,no_match,,,,manual_viewer_blind
cam5_v2_16,cam5,1185,match,1087,1086,1088,manual_viewer_blind
cam5_v2_17,cam5,1223,match,1130,1130,1130,manual_viewer_blind
cam5_v2_18,cam5,1291,match,1191,1190,1192,manual_viewer_blind
cam5_v2_19,cam5,1371,match,1269,1268,1270,manual_viewer_blind
cam5_v2_20,cam5,1428,match,1330,1330,1330,manual_viewer_blind
cam5_v2_21,cam5,1501,match,1406,1405,1407,manual_viewer_blind
cam5_v2_22,cam5,1571,match,1487,1487,1487,manual_viewer_blind
cam5_v2_23,cam5,1596,match,1514,1513,1515,manual_viewer_blind
cam5_v2_24,cam5,1656,match,1583,1582,1584,manual_viewer_blind
cam5_v2_25,cam5,1733,match,1671,1670,1672,manual_viewer_blind
cam5_v2_26,cam5,1802,match,1750,1750,1750,manual_viewer_blind
cam5_v2_27,cam5,1832,match,1779,1778,1780,manual_viewer_blind
cam5_v2_28,cam5,1935,match,1884,1884,1884,manual_viewer_blind
cam5_v2_29,cam5,1989,match,1941,1940,1942,manual_viewer_blind
cam5_v2_30,cam5,2059,match,2017,2017,2017,manual_viewer_blind
cam5_v2_31,cam5,2094,match,2059,2058,2060,manual_viewer_blind
cam5_v2_32,cam5,2156,match,2125,2124,2126,manual_viewer_blind
