method,query_id,camera_id,runA_frame,stratum,ground_truth_label,runB_min,runB_max,raw_predicted_runB_frame,gated_by,accepted,predicted_runB_frame,correct,interval_distance,preferred_frame_error
submitted_unified,cam0_v3_00,cam0,206,kink,match,124,126,126,,True,126,True,0,1
submitted_unified,cam0_v3_01,cam0,332,occlusion,undetermined,,,245,,True,245,,,
submitted_unified,cam0_v3_02,cam0,337,occlusion,match,250,252,251,,True,251,True,0,0
submitted_unified,cam0_v3_03,cam0,342,occlusion,match,254,256,256,,True,256,True,0,1
submitted_unified,cam0_v3_04,cam0,366,corridor,match,280,280,280,,True,280,True,0,0
submitted_unified,cam0_v3_05,cam0,380,kink,match,293,295,301,,True,301,False,6,7
submitted_unified,cam0_v3_06,cam0,588,corridor,match,492,494,493,,True,493,True,0,0
submitted_unified,cam0_v3_07,cam0,624,dark,match,526,526,526,,True,526,True,0,0
submitted_unified,cam0_v3_08,cam0,646,kink,match,541,547,549,,True,549,False,2,5
submitted_unified,cam0_v3_09,cam0,862,kink,match,751,751,752,,True,752,False,1,1
submitted_unified,cam0_v3_10,cam0,872,corridor,match,761,761,763,,True,763,False,2,2
submitted_unified,cam0_v3_11,cam0,1207,corridor,match,1113,1117,1107,,True,1107,False,6,8
submitted_unified,cam0_v3_12,cam0,1344,corridor,match,1248,1250,1243,,True,1243,False,5,6
submitted_unified,cam0_v3_13,cam0,1354,kink,match,1251,1255,1252,,True,1252,True,0,1
submitted_unified,cam0_v3_14,cam0,1477,dark,match,1378,1378,1378,,True,1378,True,0,0
submitted_unified,cam0_v3_15,cam0,1522,dark,match,1427,1429,1428,,True,1428,True,0,0
submitted_unified,cam0_v3_16,cam0,1625,dark,undetermined,,,1549,,True,1549,,,
submitted_unified,cam0_v3_17,cam0,1701,corridor,match,1630,1634,1634,,True,1634,True,0,2
submitted_unified,cam0_v3_18,cam0,1945,kink,match,1893,1895,1894,,True,1894,True,0,0
submitted_unified,cam0_v3_19,cam0,1972,corridor,match,1922,1922,1922,,True,1922,True,0,0
submitted_unified,cam0_v3_20,cam0,2164,corridor,match,2128,2128,2127,,True,2127,False,1,1
submitted_unified,cam0_v3_21,cam0,2399,kink,match,2383,2389,2373,,True,2373,False,10,13
submitted_unified,cam0_v3_22,cam0,2521,corridor,match,2529,2529,2529,,True,2529,True,0,0
submitted_unified,cam0_v3_23,cam0,2590,kink,no_correspondence,,,2608,,True,2608,,,
submitted_unified,cam5_v3_00,cam5,287,corridor,match,199,201,200,,True,200,True,0,0
submitted_unified,cam5_v3_01,cam5,316,kink,match,231,231,232,,True,232,False,1,1
submitted_unified,cam5_v3_02,cam5,450,dark,match,377,377,364,,True,364,False,13,13
submitted_unified,cam5_v3_03,cam5,479,dark,match,388,388,392,,True,392,False,4,4
submitted_unified,cam5_v3_04,cam5,510,dark,match,415,415,419,,True,419,False,4,4
submitted_unified,cam5_v3_05,cam5,526,dark,match,432,434,428,,True,428,False,4,5
submitted_unified,cam5_v3_06,cam5,566,dark,undetermined,,,475,,True,475,,,
submitted_unified,cam5_v3_07,cam5,619,corridor,match,521,523,524,,True,524,False,1,2
submitted_unified,cam5_v3_08,cam5,811,corridor,match,706,706,708,,True,708,False,2,2
submitted_unified,cam5_v3_09,cam5,1165,corridor,match,1064,1064,1068,,True,1068,False,4,4
submitted_unified,cam5_v3_10,cam5,1255,kink,match,1156,1156,1161,,True,1161,False,5,5
submitted_unified,cam5_v3_11,cam5,1382,corridor,match,1279,1279,1284,,True,1284,False,5,5
submitted_unified,cam5_v3_12,cam5,1514,kink,match,1418,1420,1426,,True,1426,False,6,7
submitted_unified,cam5_v3_13,cam5,1628,corridor,match,1546,1550,1548,,True,1548,True,0,0
submitted_unified,cam5_v3_14,cam5,1638,kink,match,1557,1559,1562,,True,1562,False,3,4
submitted_unified,cam5_v3_15,cam5,1691,kink,match,1621,1621,1635,,True,1635,False,14,14
submitted_unified,cam5_v3_16,cam5,1925,corridor,match,1873,1873,1878,,True,1878,False,5,5
submitted_unified,cam5_v3_17,cam5,1948,kink,match,1897,1897,1900,,True,1900,False,3,3
submitted_unified,cam5_v3_18,cam5,2146,corridor,match,2111,2111,2115,,True,2115,False,4,4
submitted_unified,cam5_v3_19,cam5,2223,kink,match,2188,2188,2195,,True,2195,False,7,7
submitted_unified,cam5_v3_20,cam5,2440,kink,match,2439,2441,2454,,True,2454,False,13,14
submitted_unified,cam5_v3_21,cam5,2511,kink,match,2510,2514,2524,,True,2524,False,10,12
submitted_unified,cam5_v3_22,cam5,2541,corridor,match,2551,2551,2554,,True,2554,False,3,3
submitted_unified,cam5_v3_23,cam5,2562,kink,match,2584,2586,2578,,True,2578,False,6,7
slope_refinement_variant,cam0_v3_00,cam0,206,kink,match,124,126,125,,True,125,True,0,0
slope_refinement_variant,cam0_v3_01,cam0,332,occlusion,undetermined,,,245,,True,245,,,
slope_refinement_variant,cam0_v3_02,cam0,337,occlusion,match,250,252,251,,True,251,True,0,0
slope_refinement_variant,cam0_v3_03,cam0,342,occlusion,match,254,256,256,,True,256,True,0,1
slope_refinement_variant,cam0_v3_04,cam0,366,corridor,match,280,280,280,,True,280,True,0,0
slope_refinement_variant,cam0_v3_05,cam0,380,kink,match,293,295,293,,True,293,True,0,1
slope_refinement_variant,cam0_v3_06,cam0,588,corridor,match,492,494,493,,True,493,True,0,0
slope_refinement_variant,cam0_v3_07,cam0,624,dark,match,526,526,526,,True,526,True,0,0
slope_refinement_variant,cam0_v3_08,cam0,646,kink,match,541,547,546,,True,546,True,0,2
slope_refinement_variant,cam0_v3_09,cam0,862,kink,match,751,751,754,,True,754,False,3,3
slope_refinement_variant,cam0_v3_10,cam0,872,corridor,match,761,761,762,,True,762,False,1,1
slope_refinement_variant,cam0_v3_11,cam0,1207,corridor,match,1113,1117,1107,,True,1107,False,6,8
slope_refinement_variant,cam0_v3_12,cam0,1344,corridor,match,1248,1250,1243,,True,1243,False,5,6
slope_refinement_variant,cam0_v3_13,cam0,1354,kink,match,1251,1255,1252,,True,1252,True,0,1
slope_refinement_variant,cam0_v3_14,cam0,1477,dark,match,1378,1378,1378,,True,1378,True,0,0
slope_refinement_variant,cam0_v3_15,cam0,1522,dark,match,1427,1429,1428,,True,1428,True,0,0
slope_refinement_variant,cam0_v3_16,cam0,1625,dark,undetermined,,,1549,,True,1549,,,
slope_refinement_variant,cam0_v3_17,cam0,1701,corridor,match,1630,1634,1634,,True,1634,True,0,2
slope_refinement_variant,cam0_v3_18,cam0,1945,kink,match,1893,1895,1893,,True,1893,True,0,1
slope_refinement_variant,cam0_v3_19,cam0,1972,corridor,match,1922,1922,1922,,True,1922,True,0,0
slope_refinement_variant,cam0_v3_20,cam0,2164,corridor,match,2128,2128,2128,,True,2128,True,0,0
slope_refinement_variant,cam0_v3_21,cam0,2399,kink,match,2383,2389,2375,,True,2375,False,8,11
slope_refinement_variant,cam0_v3_22,cam0,2521,corridor,match,2529,2529,2529,,True,2529,True,0,0
slope_refinement_variant,cam0_v3_23,cam0,2590,kink,no_correspondence,,,2608,,True,2608,,,
slope_refinement_variant,cam5_v3_00,cam5,287,corridor,match,199,201,200,,True,200,True,0,0
slope_refinement_variant,cam5_v3_01,cam5,316,kink,match,231,231,231,,True,231,True,0,0
slope_refinement_variant,cam5_v3_02,cam5,450,dark,match,377,377,364,,True,364,False,13,13
slope_refinement_variant,cam5_v3_03,cam5,479,dark,match,388,388,393,,True,393,False,5,5
slope_refinement_variant,cam5_v3_04,cam5,510,dark,match,415,415,419,,True,419,False,4,4
slope_refinement_variant,cam5_v3_05,cam5,526,dark,match,432,434,424,,True,424,False,8,9
slope_refinement_variant,cam5_v3_06,cam5,566,dark,undetermined,,,474,,True,474,,,
slope_refinement_variant,cam5_v3_07,cam5,619,corridor,match,521,523,523,,True,523,True,0,1
slope_refinement_variant,cam5_v3_08,cam5,811,corridor,match,706,706,708,,True,708,False,2,2
slope_refinement_variant,cam5_v3_09,cam5,1165,corridor,match,1064,1064,1068,,True,1068,False,4,4
slope_refinement_variant,cam5_v3_10,cam5,1255,kink,match,1156,1156,1162,,True,1162,False,6,6
slope_refinement_variant,cam5_v3_11,cam5,1382,corridor,match,1279,1279,1284,,True,1284,False,5,5
slope_refinement_variant,cam5_v3_12,cam5,1514,kink,match,1418,1420,1424,,True,1424,False,4,5
slope_refinement_variant,cam5_v3_13,cam5,1628,corridor,match,1546,1550,1551,,True,1551,False,1,3
slope_refinement_variant,cam5_v3_14,cam5,1638,kink,match,1557,1559,1562,,True,1562,False,3,4
slope_refinement_variant,cam5_v3_15,cam5,1691,kink,match,1621,1621,1625,,True,1625,False,4,4
slope_refinement_variant,cam5_v3_16,cam5,1925,corridor,match,1873,1873,1876,,True,1876,False,3,3
slope_refinement_variant,cam5_v3_17,cam5,1948,kink,match,1897,1897,1900,,True,1900,False,3,3
slope_refinement_variant,cam5_v3_18,cam5,2146,corridor,match,2111,2111,2115,,True,2115,False,4,4
slope_refinement_variant,cam5_v3_19,cam5,2223,kink,match,2188,2188,2190,,True,2190,False,2,2
slope_refinement_variant,cam5_v3_20,cam5,2440,kink,match,2439,2441,2454,,True,2454,False,13,14
slope_refinement_variant,cam5_v3_21,cam5,2511,kink,match,2510,2514,2524,,True,2524,False,10,12
slope_refinement_variant,cam5_v3_22,cam5,2541,corridor,match,2551,2551,2554,,True,2554,False,3,3
slope_refinement_variant,cam5_v3_23,cam5,2562,kink,match,2584,2586,2580,,True,2580,False,4,5
posterior_model,cam0_v3_00,cam0,206,kink,match,124,126,126,,True,126,True,0,1
posterior_model,cam0_v3_01,cam0,332,occlusion,undetermined,,,245,,True,245,,,
posterior_model,cam0_v3_02,cam0,337,occlusion,match,250,252,251,,True,251,True,0,0
posterior_model,cam0_v3_03,cam0,342,occlusion,match,254,256,256,,True,256,True,0,1
posterior_model,cam0_v3_04,cam0,366,corridor,match,280,280,279,,True,279,False,1,1
posterior_model,cam0_v3_05,cam0,380,kink,match,293,295,294,,True,294,True,0,0
posterior_model,cam0_v3_06,cam0,588,corridor,match,492,494,493,,True,493,True,0,0
posterior_model,cam0_v3_07,cam0,624,dark,match,526,526,526,,True,526,True,0,0
posterior_model,cam0_v3_08,cam0,646,kink,match,541,547,547,,True,547,True,0,3
posterior_model,cam0_v3_09,cam0,862,kink,match,751,751,752,,True,752,False,1,1
posterior_model,cam0_v3_10,cam0,872,corridor,match,761,761,762,,True,762,False,1,1
posterior_model,cam0_v3_11,cam0,1207,corridor,match,1113,1117,1107,,True,1107,False,6,8
posterior_model,cam0_v3_12,cam0,1344,corridor,match,1248,1250,1243,,True,1243,False,5,6
posterior_model,cam0_v3_13,cam0,1354,kink,match,1251,1255,1252,,True,1252,True,0,1
posterior_model,cam0_v3_14,cam0,1477,dark,match,1378,1378,1378,,True,1378,True,0,0
posterior_model,cam0_v3_15,cam0,1522,dark,match,1427,1429,1428,,True,1428,True,0,0
posterior_model,cam0_v3_16,cam0,1625,dark,undetermined,,,1549,,True,1549,,,
posterior_model,cam0_v3_17,cam0,1701,corridor,match,1630,1634,1634,,True,1634,True,0,2
posterior_model,cam0_v3_18,cam0,1945,kink,match,1893,1895,1893,,True,1893,True,0,1
posterior_model,cam0_v3_19,cam0,1972,corridor,match,1922,1922,1922,,True,1922,True,0,0
posterior_model,cam0_v3_20,cam0,2164,corridor,match,2128,2128,2128,,True,2128,True,0,0
posterior_model,cam0_v3_21,cam0,2399,kink,match,2383,2389,2377,,True,2377,False,6,9
posterior_model,cam0_v3_22,cam0,2521,corridor,match,2529,2529,2529,,True,2529,True,0,0
posterior_model,cam0_v3_23,cam0,2590,kink,no_correspondence,,,2606,,True,2606,,,
posterior_model,cam5_v3_00,cam5,287,corridor,match,199,201,200,,True,200,True,0,0
posterior_model,cam5_v3_01,cam5,316,kink,match,231,231,230,,True,230,False,1,1
posterior_model,cam5_v3_02,cam5,450,dark,match,377,377,364,,True,364,False,13,13
posterior_model,cam5_v3_03,cam5,479,dark,match,388,388,390,,True,390,False,2,2
posterior_model,cam5_v3_04,cam5,510,dark,match,415,415,418,,True,418,False,3,3
posterior_model,cam5_v3_05,cam5,526,dark,match,432,434,424,,True,424,False,8,9
posterior_model,cam5_v3_06,cam5,566,dark,undetermined,,,476,,True,476,,,
posterior_model,cam5_v3_07,cam5,619,corridor,match,521,523,524,,True,524,False,1,2
posterior_model,cam5_v3_08,cam5,811,corridor,match,706,706,707,,True,707,False,1,1
posterior_model,cam5_v3_09,cam5,1165,corridor,match,1064,1064,1068,,True,1068,False,4,4
posterior_model,cam5_v3_10,cam5,1255,kink,match,1156,1156,1158,,True,1158,False,2,2
posterior_model,cam5_v3_11,cam5,1382,corridor,match,1279,1279,1284,,True,1284,False,5,5
posterior_model,cam5_v3_12,cam5,1514,kink,match,1418,1420,1423,,True,1423,False,3,4
posterior_model,cam5_v3_13,cam5,1628,corridor,match,1546,1550,1550,,True,1550,True,0,2
posterior_model,cam5_v3_14,cam5,1638,kink,match,1557,1559,1562,,True,1562,False,3,4
posterior_model,cam5_v3_15,cam5,1691,kink,match,1621,1621,1623,,True,1623,False,2,2
posterior_model,cam5_v3_16,cam5,1925,corridor,match,1873,1873,1877,,True,1877,False,4,4
posterior_model,cam5_v3_17,cam5,1948,kink,match,1897,1897,1899,,True,1899,False,2,2
posterior_model,cam5_v3_18,cam5,2146,corridor,match,2111,2111,2115,,True,2115,False,4,4
posterior_model,cam5_v3_19,cam5,2223,kink,match,2188,2188,2190,,True,2190,False,2,2
posterior_model,cam5_v3_20,cam5,2440,kink,match,2439,2441,2447,,True,2447,False,6,7
posterior_model,cam5_v3_21,cam5,2511,kink,match,2510,2514,,,False,,,,
posterior_model,cam5_v3_22,cam5,2541,corridor,match,2551,2551,2554,,True,2554,False,3,3
posterior_model,cam5_v3_23,cam5,2562,kink,match,2584,2586,2579,,True,2579,False,5,6
submitted_plus_slope_gate,cam0_v3_00,cam0,206,kink,match,124,126,126,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_01,cam0,332,occlusion,undetermined,,,245,,True,245,,,
submitted_plus_slope_gate,cam0_v3_02,cam0,337,occlusion,match,250,252,251,,True,251,True,0,0
submitted_plus_slope_gate,cam0_v3_03,cam0,342,occlusion,match,254,256,256,,True,256,True,0,1
submitted_plus_slope_gate,cam0_v3_04,cam0,366,corridor,match,280,280,280,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_05,cam0,380,kink,match,293,295,301,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_06,cam0,588,corridor,match,492,494,493,,True,493,True,0,0
submitted_plus_slope_gate,cam0_v3_07,cam0,624,dark,match,526,526,526,,True,526,True,0,0
submitted_plus_slope_gate,cam0_v3_08,cam0,646,kink,match,541,547,549,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_09,cam0,862,kink,match,751,751,752,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_10,cam0,872,corridor,match,761,761,763,,True,763,False,2,2
submitted_plus_slope_gate,cam0_v3_11,cam0,1207,corridor,match,1113,1117,1107,,True,1107,False,6,8
submitted_plus_slope_gate,cam0_v3_12,cam0,1344,corridor,match,1248,1250,1243,,True,1243,False,5,6
submitted_plus_slope_gate,cam0_v3_13,cam0,1354,kink,match,1251,1255,1252,,True,1252,True,0,1
submitted_plus_slope_gate,cam0_v3_14,cam0,1477,dark,match,1378,1378,1378,,True,1378,True,0,0
submitted_plus_slope_gate,cam0_v3_15,cam0,1522,dark,match,1427,1429,1428,,True,1428,True,0,0
submitted_plus_slope_gate,cam0_v3_16,cam0,1625,dark,undetermined,,,1549,,True,1549,,,
submitted_plus_slope_gate,cam0_v3_17,cam0,1701,corridor,match,1630,1634,1634,,True,1634,True,0,2
submitted_plus_slope_gate,cam0_v3_18,cam0,1945,kink,match,1893,1895,1894,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_19,cam0,1972,corridor,match,1922,1922,1922,,True,1922,True,0,0
submitted_plus_slope_gate,cam0_v3_20,cam0,2164,corridor,match,2128,2128,2127,,True,2127,False,1,1
submitted_plus_slope_gate,cam0_v3_21,cam0,2399,kink,match,2383,2389,2373,near_kink,False,,,,
submitted_plus_slope_gate,cam0_v3_22,cam0,2521,corridor,match,2529,2529,2529,,True,2529,True,0,0
submitted_plus_slope_gate,cam0_v3_23,cam0,2590,kink,no_correspondence,,,2608,,True,2608,,,
submitted_plus_slope_gate,cam5_v3_00,cam5,287,corridor,match,199,201,200,,True,200,True,0,0
submitted_plus_slope_gate,cam5_v3_01,cam5,316,kink,match,231,231,232,,True,232,False,1,1
submitted_plus_slope_gate,cam5_v3_02,cam5,450,dark,match,377,377,364,,True,364,False,13,13
submitted_plus_slope_gate,cam5_v3_03,cam5,479,dark,match,388,388,392,,True,392,False,4,4
submitted_plus_slope_gate,cam5_v3_04,cam5,510,dark,match,415,415,419,,True,419,False,4,4
submitted_plus_slope_gate,cam5_v3_05,cam5,526,dark,match,432,434,428,near_kink,False,,,,
submitted_plus_slope_gate,cam5_v3_06,cam5,566,dark,undetermined,,,475,near_kink,False,,,,
