query_id,camera_id,runA_frame,label,runB_frame,runB_min,runB_max,pose_dx_px,pose_dy_px,pose_compensated,far_line_x_frac,near_line_x_frac,compare_mode,source
cam0_v3_00,cam0,206,match,125,124,126,0.0,0.0,True,0.3017,0.5543,blend,manual_viewer_blind
cam0_v3_01,cam0,332,undetermined,,,,0.0,0.0,True,0.35,0.65,blend,manual_viewer_blind
cam0_v3_02,cam0,337,match,251,250,252,0.0,0.0,True,0.8522,0.7325,side,manual_viewer_blind
cam0_v3_03,cam0,342,match,255,254,256,0.0,0.0,True,0.7745,0.5393,side,manual_viewer_blind
cam0_v3_04,cam0,366,match,280,280,280,0.0,0.0,True,0.1778,0.0585,side,manual_viewer_blind
cam0_v3_05,cam0,380,match,294,293,295,0.0,0.0,True,0.8955,0.5988,side,manual_viewer_blind
cam0_v3_06,cam0,588,match,493,492,494,0.0,0.0,True,0.7162,0.3169,side,manual_viewer_blind
cam0_v3_07,cam0,624,match,526,526,526,0.0,0.0,True,0.8372,0.1389,side,manual_viewer_blind
cam0_v3_08,cam0,646,match,544,541,547,0.0,0.0,True,0.7538,0.1166,side,manual_viewer_blind
cam0_v3_09,cam0,862,match,751,751,751,0.0,0.0,True,0.7336,0.151,side,manual_viewer_blind
cam0_v3_10,cam0,872,match,761,761,761,0.0,0.0,True,0.8008,0.051,side,manual_viewer_blind
cam0_v3_11,cam0,1207,match,1115,1113,1117,0.0,0.0,True,0.978,0.8613,side,manual_viewer_blind
cam0_v3_12,cam0,1344,match,1249,1248,1250,0.0,0.0,True,0.9884,0.1913,side,manual_viewer_blind
cam0_v3_13,cam0,1354,match,1253,1251,1255,0.0,0.0,True,0.9437,0.3676,side,manual_viewer_blind
cam0_v3_14,cam0,1477,match,1378,1378,1378,0.0,0.0,True,0.9869,0.7243,side,manual_viewer_blind
cam0_v3_15,cam0,1522,match,1428,1427,1429,0.0,0.0,True,0.8783,0.7158,side,manual_viewer_blind
cam0_v3_16,cam0,1625,undetermined,,,,0.0,0.0,True,0.35,0.65,side,manual_viewer_blind
cam0_v3_17,cam0,1701,match,1632,1630,1634,0.0,0.0,True,0.8745,0.5075,side,manual_viewer_blind
cam0_v3_18,cam0,1945,match,1894,1893,1895,0.0,0.0,True,0.7639,0.4407,side,manual_viewer_blind
