query_id,camera_id,runA_frame,label,runB_frame,runB_min,runB_max,pose_dx_px,pose_dy_px,pose_compensated,far_line_x_frac,far_line_y_frac,near_line_x_frac,near_line_y_frac,compare_mode,source
cam5_v3b_00,cam5,224,match,136,135,137,40.0,12.0,True,0.2821,0.1568,0.6701,0.7882,side,manual_viewer_blind
cam5_v3b_01,cam5,417,match,334,334,334,40.0,12.0,True,0.7935,0.3616,0.5285,0.9699,side,manual_viewer_blind
cam5_v3b_02,cam5,576,match,482,481,483,40.0,12.0,True,0.5094,0.3803,0.1167,0.7869,side,manual_viewer_blind
cam5_v3b_03,cam5,586,match,492,491,493,40.0,12.0,True,0.211,0.2021,0.4199,0.7732,side,manual_viewer_blind
cam5_v3b_04,cam5,654,match,552,551,553,40.0,12.0,True,0.8537,0.375,0.6353,0.7684,side,manual_viewer_blind
cam5_v3b_05,cam5,792,match,687,686,688,40.0,12.0,True,0.5269,0.2557,0.4642,0.6714,side,manual_viewer_blind
cam5_v3b_06,cam5,925,match,814,813,815,40.0,12.0,True,0.8432,0.158,0.4148,0.6674,side,manual_viewer_blind
cam5_v3b_07,cam5,1023,match,921,920,922,40.0,12.0,True,0.7836,0.228,0.3537,0.6689,side,manual_viewer_blind
cam5_v3b_08,cam5,1202,match,1101,1100,1102,40.0,12.0,True,0.1367,0.3279,0.2303,0.8067,side,manual_viewer_blind
cam5_v3b_09,cam5,1361,match,1259,1258,1260,40.0,12.0,True,0.1391,0.3616,0.6928,0.7004,side,manual_viewer_blind
cam5_v3b_10,cam5,1491,match,1431,1430,1432,40.0,12.0,True,0.7172,0.3688,0.4071,0.8242,side,manual_viewer_blind
cam5_v3b_11,cam5,1526,match,1433,1433,1433,40.0,12.0,True,0.2206,0.3453,0.5406,0.7657,side,manual_viewer_blind
cam5_v3b_12,cam5,1558,match,1471,1470,1472,40.0,12.0,True,0.6207,0.2651,0.3969,0.6732,side,manual_viewer_blind
cam5_v3b_13,cam5,1618,match,1538,1536,1540,40.0,12.0,True,0.7828,0.1058,0.3596,0.6707,side,manual_viewer_blind
cam5_v3b_14,cam5,1704,match,1639,1637,1641,40.0,12.0,True,0.2155,0.2597,0.5987,0.6686,side,manual_viewer_blind
cam5_v3b_15,cam5,1723,match,1659,1657,1661,40.0,12.0,True,0.5487,0.2181,0.6058,0.766,side,manual_viewer_blind
cam5_v3b_16,cam5,1878,match,1826,1825,1827,40.0,12.0,True,0.2451,0.3176,0.4857,0.7454,side,manual_viewer_blind
cam5_v3b_17,cam5,1977,match,1927,1926,1928,40.0,12.0,True,0.1599,0.4015,0.5217,0.6822,side,manual_viewer_blind
cam5_v3b_18,cam5,2187,match,2154,2153,2155,40.0,12.0,True,0.1314,0.3844,0.4994,0.6715,side,manual_viewer_blind
cam5_v3b_19,cam5,2237,match,2202,2201,2203,40.0,12.0,True,0.1796,0.3015,0.5199,0.6743,side,manual_viewer_blind
cam5_v3b_20,cam5,2277,match,2243,2242,2244,40.0,12.0,True,0.2783,0.317,0.494,0.6779,side,manual_viewer_blind
cam5_v3b_21,cam5,2396,match,2376,2376,2376,40.0,12.0,True,0.301,0.3258,0.7494,0.6909,side,manual_viewer_blind
cam5_v3b_22,cam5,2470,match,2477,2476,2478,40.0,12.0,True,0.645,0.2279,0.3034,0.6763,side,manual_viewer_blind
cam5_v3b_23,cam5,2587,no_correspondence,,,,40.0,12.0,True,0.3977,0.2484,0.464,0.681,side,manual_viewer_blind
