query_id,camera_id,runA_frame,ground_truth_label,ground_truth_runB_frame,ground_truth_runB_min,ground_truth_runB_max,status,sequence_tier,longest_window_margin,accepted,predicted_runB_frame,accepted_correct,preferred_frame_error,interval_distance
cam0_v2_00,cam0,229,match,140,139,141,accepted_strong,strong,0.16202,True,144,False,4,3
cam0_v2_01,cam0,285,match,195,195,195,accepted_strong,strong,0.15528,True,195,True,0,0
cam0_v2_02,cam0,355,match,268,267,269,accepted_strong,strong,0.1312,True,269,True,1,0
cam0_v2_03,cam0,410,no_match,,,,accepted_strong,strong,0.10079,True,324,False,,
cam0_v2_04,cam0,476,match,384,384,384,accepted_strong,strong,0.09347,True,385,False,1,1
cam0_v2_05,cam0,505,match,411,410,412,accepted_strong,strong,0.09853,True,411,True,0,0
cam0_v2_06,cam0,598,match,503,503,503,accepted_strong,strong,0.10548,True,503,True,0,0
cam0_v2_07,cam0,634,match,535,534,536,accepted_strong,strong,0.11879,True,535,True,0,0
cam0_v2_08,cam0,687,match,583,582,584,accepted_strong,strong,0.11661,True,584,True,1,0
cam0_v2_09,cam0,733,match,629,628,630,accepted_strong,strong,0.10627,True,629,True,0,0
cam0_v2_10,cam0,803,match,697,696,698,accepted_strong,strong,0.1037,True,698,True,1,0
cam0_v2_11,cam0,849,match,740,740,740,accepted_strong,strong,0.10094,True,740,True,0,0
cam0_v2_12,cam0,934,match,824,824,824,accepted_strong,strong,0.07393,True,832,False,8,8
cam0_v2_13,cam0,984,match,879,879,879,accepted_strong,strong,0.08162,True,880,False,1,1
cam0_v2_14,cam0,1083,no_match,,,,accepted_strong,strong,0.10815,True,1001,False,,
cam0_v2_15,cam0,1129,no_match,,,,accepted_strong,strong,0.10811,True,1029,False,,
cam0_v2_16,cam0,1197,no_match,,,,accepted_strong,strong,0.08301,True,1096,False,,
cam0_v2_17,cam0,1217,no_match,,,,accepted_strong,strong,0.08034,True,1118,False,,
cam0_v2_18,cam0,1306,no_match,,,,accepted_strong,strong,0.08397,True,1206,False,,
cam0_v2_19,cam0,1377,match,1279,1278,1280,accepted_strong,strong,0.07946,True,1276,False,3,2
cam0_v2_20,cam0,1443,match,1344,1343,1345,accepted_strong,strong,0.07212,True,1343,True,1,0
cam0_v2_21,cam0,1503,match,1406,1406,1406,accepted_strong,strong,0.07432,True,1406,True,0,0
cam0_v2_22,cam0,1578,no_match,,,,accepted_strong,strong,0.10633,True,1494,False,,
cam0_v2_23,cam0,1638,no_match,,,,accepted_strong,strong,0.11695,True,1554,False,,
cam0_v2_24,cam0,1687,match,1635,1634,1636,accepted_strong,strong,0.10202,True,1620,False,15,14
cam0_v2_25,cam0,1714,match,1649,1648,1650,accepted_strong,strong,0.10425,True,1648,True,1,0
cam0_v2_26,cam0,1766,match,1709,1708,1710,accepted_sequence_supported,supported,0.09155,True,1708,True,1,0
cam0_v2_27,cam0,1855,match,1803,1803,1803,accepted_strong,strong,0.10501,True,1803,True,0,0
cam0_v2_28,cam0,1913,match,1861,1861,1861,accepted_strong,strong,0.12943,True,1861,True,0,0
cam0_v2_29,cam0,1986,match,1937,1936,1938,accepted_strong,strong,0.12277,True,1936,True,1,0
cam0_v2_30,cam0,2066,match,2024,2023,2025,accepted_strong,strong,0.10418,True,2023,True,1,0
cam0_v2_31,cam0,2115,match,2078,2077,2079,accepted_strong,strong,0.10245,True,2078,True,0,0
cam0_v2_32,cam0,2140,match,2103,2103,2103,accepted_strong,strong,0.10536,True,2104,False,1,1
cam0_v2_33,cam0,2223,match,2188,2188,2188,accepted_strong,strong,0.12742,True,2188,True,0,0
cam0_v2_34,cam0,2277,match,2243,2243,2243,accepted_strong,strong,0.12978,True,2243,True,0,0
cam0_v2_35,cam0,2350,match,2322,2321,2323,accepted_strong,strong,0.12328,True,2322,True,0,0
cam0_v2_36,cam0,2416,match,2408,2407,2409,accepted_strong,strong,0.09882,True,2414,False,6,5
cam0_v2_37,cam0,2435,match,2436,2435,2437,accepted_strong,strong,0.09767,True,2436,True,0,0
cam0_v2_38,cam0,2504,match,2511,2511,2511,accepted_strong,strong,0.10781,True,2511,True,0,0
cam0_v2_39,cam0,2555,match,2568,2567,2569,accepted_strong,strong,0.1035,True,2558,False,10,9
cam5_v2_00,cam5,196,match,114,114,115,geometry_failed,strong,0.08841,False,,False,,
cam5_v2_01,cam5,297,match,211,210,212,accepted_strong,strong,0.09564,True,212,True,1,0
cam5_v2_02,cam5,345,match,263,262,264,accepted_strong,strong,0.10517,True,262,True,1,0
cam5_v2_03,cam5,407,match,323,322,324,accepted_strong,strong,0.13492,True,325,False,2,1
cam5_v2_04,cam5,440,match,353,353,353,accepted_strong,strong,0.13893,True,356,False,3,3
cam5_v2_05,cam5,491,match,397,397,397,accepted_strong,strong,0.12366,True,405,False,8,8
cam5_v2_06,cam5,554,match,461,461,461,accepted_strong,strong,0.10394,True,445,False,16,16
cam5_v2_07,cam5,664,match,564,563,565,accepted_strong,strong,0.05765,True,564,True,0,0
cam5_v2_08,cam5,706,no_match,,,,accepted_strong,strong,0.06163,True,604,False,,
cam5_v2_09,cam5,781,match,676,675,677,accepted_strong,strong,0.06806,True,678,False,2,1
cam5_v2_10,cam5,834,match,728,728,728,accepted_strong,strong,0.08636,True,730,False,2,2
cam5_v2_11,cam5,872,match,762,762,762,accepted_strong,strong,0.08346,True,765,False,3,3
cam5_v2_12,cam5,915,match,805,804,806,accepted_strong,strong,0.08722,True,806,True,1,0
cam5_v2_13,cam5,1003,no_match,,,,accepted_strong,strong,0.06731,True,902,False,,
cam5_v2_14,cam5,1063,match,963,962,964,accepted_strong,strong,0.05188,True,966,False,3,2
cam5_v2_15,cam5,1149,no_match,,,,accepted_strong,strong,0.04509,True,1051,False,,
cam5_v2_16,cam5,1185,match,1087,1086,1088,accepted_strong,strong,0.04559,True,1086,True,1,0
cam5_v2_17,cam5,1223,match,1130,1130,1130,accepted_strong,strong,0.03954,True,1129,False,1,1
cam5_v2_18,cam5,1291,match,1191,1190,1192,accepted_sequence_supported,supported,0.0297,True,1192,True,1,0
cam5_v2_19,cam5,1371,match,1269,1268,1270,sequence_failed,failed,0.02989,False,,False,,
cam5_v2_20,cam5,1428,match,1330,1330,1330,accepted_strong,strong,0.03672,True,1332,False,2,2
cam5_v2_21,cam5,1501,match,1406,1405,1407,accepted_sequence_supported,supported,0.02969,True,1407,True,1,0
cam5_v2_22,cam5,1571,match,1487,1487,1487,sequence_failed,failed,0.02064,False,,False,,
cam5_v2_23,cam5,1596,match,1514,1513,1515,sequence_failed,failed,0.03058,False,,False,,
cam5_v2_24,cam5,1656,match,1583,1582,1584,accepted_strong,strong,0.03864,True,1582,True,1,0
cam5_v2_25,cam5,1733,match,1671,1670,1672,accepted_strong,strong,0.07556,True,1673,False,2,1
cam5_v2_26,cam5,1802,match,1750,1750,1750,accepted_strong,strong,0.08743,True,1754,False,4,4
cam5_v2_27,cam5,1832,match,1779,1778,1780,accepted_strong,strong,0.09025,True,1783,False,4,3
cam5_v2_28,cam5,1935,match,1884,1884,1884,accepted_strong,strong,0.05874,True,1888,False,4,4
cam5_v2_29,cam5,1989,match,1941,1940,1942,accepted_strong,strong,0.05615,True,1942,True,1,0
cam5_v2_30,cam5,2059,match,2017,2017,2017,accepted_strong,strong,0.05121,True,2017,True,0,0
cam5_v2_31,cam5,2094,match,2059,2058,2060,accepted_strong,strong,0.05532,True,2055,False,4,3
cam5_v2_32,cam5,2156,match,2125,2124,2126,accepted_strong,strong,0.05824,True,2125,True,0,0
cam5_v2_33,cam5,2212,match,2178,2178,2178,accepted_strong,strong,0.07776,True,2179,False,1,1
cam5_v2_34,cam5,2299,match,2271,2270,2272,accepted_strong,strong,0.07065,True,2275,False,4,3
cam5_v2_35,cam5,2330,match,2303,2303,2303,accepted_strong,strong,0.07119,True,2305,False,2,2
cam5_v2_36,cam5,2429,match,2430,2429,2431,loop_ambiguous,failed,0.05993,False,,False,,
cam5_v2_37,cam5,2493,match,2502,2501,2503,accepted_strong,strong,0.09249,True,2501,True,1,0
cam5_v2_38,cam5,2551,match,2565,2565,2565,accepted_strong,strong,0.09444,True,2564,False,1,1
